n,title,author,rating,num_ratings,num_reviews,descrip,binding,edition,pages,published_on,genres
100215,"
      To The Marrow
",Robert Seder,"
  4.00
","

  4
  ratings
","

    2
    reviews
",,Paperback,,88 pages,"
            Published
        March 31st 2006
         by CavanKerry Press

      ",[]
100216,"
      Woody Guthrie Songbook
",Woody Guthrie,"
  4.35
","

  26
  ratings
","

    4
    reviews
",,Paperback,,61 pages,"
            Published
        March 1st 2000
         by Hal Leonard Publishing Corporation

      ",['Music']
100217,"
      Best of Woody Guthrie
",Woody Guthrie,"
  0.00
","

  0
  ratings
","

    0
    reviews
","(Strum It (Guitar)). Features authentic chords, strum patterns, melody and lyrics for 20 of the most popular songs (all in their original keys) from this highly influential founding father of folk. Includes: Do Re Mi * Dust Pneumonia Blues * The Grand Coulee Dam * Hard Travelin' * I Ain't Got No Home * Jackhammer John * New York Town * Ramblin' Round * Roll On, Columbia * So Long It's Been Good to Know Yuh (Dusty Old Dust) * Talking Dust Bowl * This Land Is Your Land * Tom Joad * Vigilante Man * and more.",Paperback,,56 pages,"
            Published
        May 1st 2002
         by Hal Leonard Publishing Corporation

      ",[]
100218,"
      Artworks
",Woody Guthrie,"
  4.34
","

  58
  ratings
","

    8
    reviews
","Songwriter, poet, writer, political activist . . . and, perhaps most fundamental to his work but least known about Woody Guthrie, artist. ""Contrary to popular mythology, it was with paint brushes in hand, not a guitar, that Guthrie hit the road for California. He had hocked his guitar . . . and it was his artistic skills that he brokered for room and board."" So begins Nora's fascinating revelations about her father's vast body of artwork. Other than the drawings for his autobiography, Bound for Glory, few have seen Guthrie's art. This is because much of it is inextricably bound into diaries and work books into which he poured his images, and which are presented here for the first time. Guthrie worked as a commercial artist, illustrating album covers, books, and newspaper columns, and kept a daily record of his life, and of American life, in thousands of pictures. Some complement song-writing in such a fluid way that they often appear interwoven with handwritten lyrics. The stinging honesty, humor, and wit found in his music are also to be found in his art, layering our understanding of his social, political, and spiritual life. In more than 300 examples, his visual creativity is apparent, from political cartoons to bawdy and comical gouaches to children's art to abstract emotional outpourings. Drawing extensively on Guthrie's words, Brower unveils an enhanced portrait of one of America's greatest creative forces.",Hardcover,,344 pages,"
            Published
        October 25th 2005
         by Rizzoli

      ","['Art', 'Music', 'Nonfiction']"
100219,"
      Woody's 20 Grow Big Songs
",Woody Guthrie,"
  4.44
","

  16
  ratings
","

    4
    reviews
",,Hardcover,,48 pages,"
            Published
        August 1st 1992
         by HarperCollins Publishers

            
              (first published 1969)
            
","['Music', 'Childrens', 'Childrens']"
100220,"
      Howdi Do!
",Woody Guthrie,"
  3.92
","

  24
  ratings
","

    5
    reviews
",,Paperback,,18 pages,"
            Published
        May 8th 2001
         by Walker Books Ltd

            
              (first published 2000)
            
","['Childrens', 'Music', 'Childrens']"
100221,"
      Woody Guthrie: Poet of the People
",Bonnie Christensen,"
  4.11
","

  63
  ratings
","

    17
    reviews
","Woody Guthrie spent his life putting into words and music what the rest of America was thinking. He roamed from coast to coast and captured the despair of those displaced by the Great Depression and the dust bowl, eulogized workers, and celebrated the great natural beauty of America. This is an introductory biography presented as a picture book with a brief lyrical text and powerful, hand-tinted, woodcut-like illustrations. It includes the complete lyrics to “This Land Is Your Land” and excerpts from his other songs. A book for all ages, it makes this talented and tragic man accessible to young children and will please his older folksinging fans with its stunning art.",Hardcover,,32 pages,"
            Published
        October 9th 2001
         by Knopf Books for Young Readers

      ","['Biography', 'Music', 'Childrens', 'Nonfiction', 'History', 'Biography']"
100222,"
      This Land is Your Land (Collection of Woody Guthrie Songs)
",Woody Guthrie,"
  4.27
","

  333
  ratings
","

    65
    reviews
","Rediscover the home-spun character and the legendary folk music of Woody Guthrie in this one-of-a-kind collection of 8 of Woody's songs for kids. His unique humor and wit are evident in the fun-to-sing lyrics, and the rolling melodies will bring smiles and giggles to singer and listener alike. The Book/CD Pak includes piano/vocal arrangements, photos and biography, and the full performance recording of each song. Also available is the Singer Edition (vocal lines only) and an Accompaniment CD. Songs include: This Land Is Your Land, Howdi Do, Riding in My Car, Jig Along Home, Mail Myself to You, Bling-Blang, All Work Together, So Long It's Been Good to Know Yuh.",Paperback,,,"
            Published
        July 1st 2002
         by Hal Leonard Publishing Corporation

            
              (first published 1998)
            
","['Childrens', 'Music', 'Childrens', 'Poetry', 'History']"
100223,"
      The Preservationist
",David Maine,"
  3.63
","

  1,362
  ratings
","

    221
    reviews
","""Noe says, -I must build a boat.-A boat, she says.-A ship, more like. I'll need the boys to help, he adds as an afterthought.-We're leagues from the sea, she says, or any river big enough to warrant a boat.This conversation is making Noe impatient. -I've no need to explain myself to you.-And when you're done, she says carefully, we'll be taking this ship to the sea somehow?As usual, Noe's impatience fades quickly. -We'll not be going to the sea. The sea will be coming to us.""In this brilliant debut novel, Noah's family (or Noe as he's called here)-his wife, sons, and daughters-in-law-tell what it's like to live with a man touched by God, while struggling against events that cannot be controlled or explained. When Noe orders his sons to build an ark, he can't tell them where the wood will come from. When he sends his daughters-in-law out to gather animals, he can offer no directions, money, or protection. And once the rain starts, they all realize that the true test of their faith is just beginning. Because the family is trapped on the ark with thousands of animals-with no experience feeding or caring for them, and no idea of when the waters will recede. What emerges is a family caught in the midst of an extraordinary Biblical event, with all the tension, humanity-even humor-that implies.",Paperback,,256 pages,"
            Published
        July 1st 2005
         by St. Martin's Griffin

            
              (first published July 1st 2004)
            
","['Fiction', 'Historical', 'Religion', 'Biblical', 'Novels']"
100224,"
      Preservationist's Progress: Architectural Adventures in Conserving Yesterday's Houses
",Hugh Howard,"
  2.50
","

  2
  ratings
","

    0
    reviews
",,Paperback,,320 pages,"
            Published
        June 1st 1992
         by Noonday Press

            
              (first published May 1991)
            
",[]
