n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
10538,"
      The Life and Times of the Thunderbolt Kid
",Bill Bryson,"
  3.94
","

  52,226
  ratings
","

    4,445
    reviews
","From one of the most beloved and bestselling authors in the English language, a vivid, nostalgic, and utterly hilarious memoir of growing up in the 1950sBill Bryson was born in the middle of the American century—1951—in the middle of the United States—Des Moines, Iowa—in the middle of the largest generation in American history—the baby boomers. As one of the best and funniest writers alive, he is perfectly positioned to mine his memories of a totally all-American childhood for 24-carat memoir gold. Like millions of his generational peers, Bill Bryson grew up with a rich fantasy life as a superhero. In his case, he ran around his house and neighborhood with an old football jersey with a thunderbolt on it and a towel about his neck that served as his cape, leaping tall buildings in a single bound and vanquishing awful evildoers (and morons)—in his head—as ""The Thunderbolt Kid."" Using this persona as a springboard, Bill Bryson re-creates the life of his family and his native city in the 1950s in all its transcendent normality—a life at once completely familiar to us all and as far away and unreachable as another galaxy. It was, he reminds us, a happy time, when automobiles and televisions and appliances (not to mention nuclear weapons) grew larger and more numerous with each passing year, and DDT, cigarettes, and the fallout from atmospheric testing were considered harmless or even good for you. He brings us into the life of his loving but eccentric family, including affectionate portraits of his father, a gifted sportswriter for the local paper and dedicated practitioner of isometric exercises, and OF his mother, whose job as the home furnishing editor for the same paper left her little time for practicing the domestic arts at home. The many readers of Bill Bryson’s earlier classic, A Walk in the Woods, will greet the reappearance in these pages of the immortal Stephen Katz, seen hijacking literally boxcar loads of beer. He is joined in the Bryson gallery of immortal characters by the demonically clever Willoughby brothers, who apply their scientific skills and can-do attitude to gleefully destructive ends. Warm and laugh-out-loud funny, and full of his inimitable, pitch-perfect observations, The Life and Times of the Thunderbolt Kid is as wondrous a book as Bill Bryson has ever written. It will enchant anyone who has ever been young.",076791936X,9780767919364),Hardcover,,288 pages,"
            Published
        October 17th 2006
         by Broadway Books

            
              (first published 2006)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Humor', 'Biography']"
10176,"
      Dress Your Family in Corduroy and Denim
",David Sedaris,"
  4.10
","

  228,764
  ratings
","

    6,193
    reviews
","David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother’s wedding. He mops his sister’s floor. He gives directions to a lost traveler. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn’t it? In his newest collection of essays, David Sedaris lifts the corner of ordinary life, revealing the absurdity teeming below its surface. His world is alive with obscure desires and hidden motives — a world where forgiveness is automatic and an argument can be the highest form of love. Dress Your Family in Corduroy and Denim is another unforgettable collection from one of the wittiest and most original writers at work today.--davidsedarisbooks.com",0965904830,9780965904834),Paperback,First Edition,257 pages,"
            Published
        2004
         by Little, Brown & Co.

      ","['Humor', 'Nonfiction', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories']"
4960,"
      A Monk Swimming
",Malachy McCourt,"
  3.34
","

  4,102
  ratings
","

    273
    reviews
","Slapped with a libel suit after an appearance on a talk show, Malachy McCourt crows, ""If they could only see me now in the slums of Limerick, a big shot, sued for a million. Bejesus, isn't America a great and wonderful country?"" His older brother Frank's Pulitzer Prize-winning memoir, Angela's Ashes, took its somber tone from the bleak atmosphere of those slums, while Malachy's boisterous recollections are fueled by his zestful appreciation for the opportunities and oddities of his native land. He and Frank were born in Brooklyn, moved with their parents to Ireland as children, then returned to the States as adults. This book covers the decade 1952-63, when Malachy roistered across the U.S., Europe, and Asia, but spent most of his time in New York City. There his ready wit and quick tongue won him an acting job with the Irish Players, a semiregular stint on The Tonight Show hosted by Jack Paar, and friendships with some well-heeled, well-born types who shared his fondness for saloon life and bankrolled him in an East Side saloon that may have been the first singles bar. He chronicles those events--and many others--with back-slapping bonhomie. Although McCourt acknowledges the personal demons that pursued him from his poverty-stricken childhood and destroyed his first marriage, this is on the whole an exuberant autobiography that pays tribute to the joys of a freewheeling life.",0786884142,9780786884148),Paperback,,290 pages,"
            Published
        June 2nd 1999
         by Hachette Books

            
              (first published January 1st 1998)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Cultural', 'Ireland', 'Biography', 'Autobiography']"
175078,"
      The Seven Storey Mountain
",Thomas Merton,"
  4.16
","

  12,292
  ratings
","

    951
    reviews
","A modern-day Confessions of Saint Augustine, The Seven Storey Mountain is one of the most influential religious works of the twentieth century. This edition contains an introduction by Merton's editor, Robert Giroux, and a note to the reader by biographer William H. Shannon. It tells of the growing restlessness of a brilliant and passionate young man whose search for peace and faith leads him, at the age of twenty-six, to take vows in one of the most demanding Catholic orders--the Trappist monks. At the Abbey of Gethsemani, ""the four walls of my new freedom,"" Thomas Merton struggles to withdraw from the world, but only after he has fully immersed himself in it. The Seven Storey Mountain has been a favorite of readers ranging from Graham Greene to Claire Booth Luce, Eldridge Cleaver, and Frank McCourt. Since its original publication this timeless spiritual tome has been published in over twenty languages and has touched millions of lives.",0156010860,9780156010863),Paperback,First Harvest edition,467 pages,"
            Published
        October 4th 1999
         by Harcourt, Inc.

            
              (first published 1948)
            
","['Religion', 'Spirituality', 'Biography', 'Nonfiction', 'Autobiography', 'Memoir', 'Religion', 'Christianity']"
1550886,"
      Yes I Can
",Sammy Davis Jr.,"
  4.16
","

  550
  ratings
","

    43
    reviews
",,0374293538,9780374293536),Hardcover,,611 pages,"
            Published
        December 31st 1990
         by Noonday Press

            
              (first published 1965)
            
","['Biography', 'Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Autobiography', 'Music']"
35740,"
      Peeling the Onion
",Günter Grass,"
  3.80
","

  1,490
  ratings
","

    162
    reviews
","In this extraordinary memoir, Nobel Prize-winning author Gunter Grass remembers his early life, from his boyhood in a cramped two-room apartment in Danzig through the late 1950s, when The Tin Drum was published. During the Second World War, Grass volunteered for the submarine corps at the age of fifteen but was rejected; two years later, in 1944, he was instead drafted into the Waffen-SS. Taken prisoner by American forces as he was recovering from shrapnel wounds, he spent the final weeks of the war in an American POW camp. After the war, Grass resolved to become an artist and moved with his first wife to Paris, where he began to write the novel that would make him famous.Full of the bravado of youth, the rubble of postwar Germany, the thrill of wild love affairs, and the exhilaration of Paris in the early fifties, Peeling the Onion -- which caused great controversy when it was published in Germany -- reveals Grass at his most intimate.",0151014779,9780151014774),Hardcover,,432 pages,"
            Published
        June 25th 2007
         by Houghton Mifflin Harcourt

            
              (first published 2006)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Cultural', 'Germany', 'History', 'European Literature', 'German Literature', 'Biography', 'Autobiography', 'Nobel Prize', 'War', 'Literature', '21st Century']"
42603,"
      Black Like Me
",John Howard Griffin,"
  4.13
","

  55,719
  ratings
","

    2,417
    reviews
","In the Deep South of the 1950s, journalist John Howard Griffin decided to cross the color line. Using medication that darkened his skin to deep brown, he exchanged his privileged life as a Southern white man for the disenfranchised world of an unemployed black man. His audacious, still chillingly relevant eyewitness history is a work about race and humanity-that in this new millennium still has something important to say to every American.",0451208641,9780451208644),Paperback,,208 pages,"
            Published
        May 6th 2003
         by Berkley Books

            
              (first published January 1st 1960)
            
","['Nonfiction', 'History', 'Autobiography', 'Memoir', 'Classics', 'Biography', 'Race']"
9992246-eating-smoke,"
      Eating Smoke: One Man's Descent Into Crystal Meth Psychosis in Hong Kong's Triad Heartland
",Chris Thrall,"
  3.61
","

  578
  ratings
","

    49
    reviews
","Chris Thrall left the Royal Marines to find fortune in Hong Kong, but following a bizarre series of jobs ended up homeless and in psychosis from crystal meth.He began working for the 14K, a notorious crime syndicate, as a nightclub doorman in the Wan Chai red-light district, where he uncovered a vast global conspiracy and the 'Foreign Triad' - a secretive expat clique in cahoots with the Chinese gangs.Alone and confused in the neon glare of Hong Kong's seedy backstreets, Chris was forced to survive in the world's most unforgiving city, hooked on the world's most dangerous drug.Engaging, honest and full of Chris's irrepressible humour, this remarkable memoir combines gripping storytelling with brooding menace as the Triads begin to cast their shadow over him. The result is a truly psychotic urban nightmare ...",English,English,Paperback,,420 pages,"
            Published
        September 16th 2011
         by Blacksmith Books

            
              (first published September 15th 2011)
            
","['Nonfiction', 'Mystery', 'Crime', 'Autobiography', 'Memoir', 'Crime', 'True Crime', 'Cultural', 'China']"
82896,"
      The Education of Henry Adams
",Henry Adams,"
  3.65
","

  3,054
  ratings
","

    314
    reviews
",,1406802786,9781406802788),Paperback,,320 pages,"
            Published
        June 30th 2006
         by Echo Library

            
              (first published 1918)
            
","['Biography', 'History', 'Nonfiction', 'Classics', 'Autobiography', 'Memoir', 'Biography', 'Autobiography', 'North American Hi...', 'American History']"
18461055-grit,"
      Grit: The Banter and Brutality of the Late-Night Cab
",Karl Wiggins,"
  4.32
","

  206
  ratings
","

    8
    reviews
","The world of the cab driver is uncertain and even dangerous, populated by oddballs, weirdoes, comedians, eccentrics, head cases, prima donnas and hard cases. And they’re just the drivers.Enter the ludicrous, humorous and sometimes violent world of the London cab driver; You never know what to expect, and during my years driving cabs I got myself into some scrapes. Luckily I’ve met and befriended many characters along the way, and their stories deserve to be told. In the last third of the book, I recall my time spent driving cab in the projects of Watts, Los Angeles, home of the infamous Bloods & Crips, during the early 80’s. I’ve intended to paint an ominous picture of a community destroyed by drugs, guns and violence. You’ll almost smell the omnipresent whiff of cheap wine, and feel the dirty lino under your feet.Read the true life adventures of an English lad as he struggles to make a living amongst ‘gangstas’ who are arguably the most violent in the United States.For anyone who has puked in the back of a cab, then argued over the fare at 3am, this book is your driver’s revenge. I’ve done my best to create a ‘living poem’ that is by turns thoughtful and brutal, but very funny.People have always told me I’m a natural storyteller, but like every good cab driver I have an opinion on a range of hot issues, from the congestion charge to Malcolm X and the Nation of Islam. You’ll be able to hear my characters, see them and, in some instances, actually smell them. They’ll leave their stain on you. You may well be able to relate to guys who used their fists and their wits, you may laugh at their humour and get their jokes, but it’ll be the thugs with guns and no soul who will unsettle you. I want you to be scared of them.",English,English,Kindle Edition,,177 pages,"
            Published
        January 13th 2013
         by Amazon Digital Services

            
              (first published April 28th 2004)
            
","['Humor', 'Nonfiction', 'Crime', 'True Crime', 'Humor', 'Comedy']"
